Time,§y1,§y2,§y3,§y4
0.0000E+00,9.9400E-01,0.0000E+00,0.0000E+00,-2.0016E+00
7.3699E-02,9.5065E-01,-3.2554E-02,-7.3427E-01,-2.3930E-01
1.9295E-01,8.4863E-01,-3.8242E-02,-5.6356E-01,1.0091E-01
2.6664E-01,8.0768E-01,-2.7403E-02,-5.5012E-01,1.9170E-01
3.4034E-01,7.6724E-01,-1.0138E-02,-5.4893E-01,2.7613E-01
4.5959E-01,7.0089E-01,3.0624E-02,-5.6836E-01,4.0653E-01
5.3329E-01,6.5811E-01,6.3453E-02,-5.9443E-01,4.8386E-01
6.0699E-01,6.1296E-01,1.0184E-01,-6.3329E-01,5.5702E-01
7.2623E-01,5.3219E-01,1.7454E-01,-7.2859E-01,6.5713E-01
7.9993E-01,4.7561E-01,2.2461E-01,-8.0931E-01,6.9792E-01
8.7363E-01,4.1254E-01,2.7676E-01,-9.0422E-01,7.1233E-01
9.9288E-01,2.9502E-01,3.5956E-01,-1.0646E+00,6.5926E-01
1.0666E+00,2.1350E-01,4.0532E-01,-1.1429E+00,5.7708E-01
1.1403E+00,1.2744E-01,4.4400E-01,-1.1856E+00,4.6980E-01
1.2595E+00,-1.3751E-02,4.8924E-01,-1.1648E+00,2.9365E-01
1.3332E+00,-9.7618E-02,5.0762E-01,-1.1068E+00,2.0952E-01
1.4069E+00,-1.7642E-01,5.2080E-01,-1.0293E+00,1.5286E-01
1.5262E+00,-2.9084E-01,5.3617E-01,-8.8864E-01,1.1461E-01
1.5999E+00,-3.5312E-01,5.4457E-01,-8.0201E-01,1.1609E-01
1.6736E+00,-4.0914E-01,5.5359E-01,-7.1900E-01,1.3035E-01
1.7928E+00,-4.8732E-01,5.7134E-01,-5.9403E-01,1.6970E-01
1.8665E+00,-5.2843E-01,5.8491E-01,-5.2227E-01,1.9908E-01
1.9402E+00,-5.6439E-01,6.0071E-01,-4.5410E-01,2.2964E-01
2.0595E+00,-6.1226E-01,6.3099E-01,-3.5005E-01,2.7771E-01
2.1332E+00,-6.3579E-01,6.5248E-01,-2.8889E-01,3.0494E-01
2.2069E+00,-6.5489E-01,6.7587E-01,-2.2974E-01,3.2941E-01
2.3261E+00,-6.7676E-01,7.1719E-01,-1.3778E-01,3.6196E-01
2.3998E+00,-6.8489E-01,7.4445E-01,-8.3109E-02,3.7725E-01
2.4735E+00,-6.8905E-01,7.7270E-01,-3.0077E-02,3.8861E-01
2.5927E+00,-6.8769E-01,8.1973E-01,5.2092E-02,3.9848E-01
2.6664E+00,-6.8206E-01,8.4915E-01,1.0044E-01,3.9929E-01
